SO Name,NESLI2 Springer Option 1 Closed Consortium Agreement 2011_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,springer_option1closed consortium agreement_2011_2012_Nesli2,,,,,,,,,,,,,,,,,,,
Provider,Springer ,,,,,,,,,,,,,,,,,,,
Package Identifier,Option 1 Closed Consortium Agreement,,,,,,,,,,,,,,,,,,,
Package Name,Option 1 Closed Consortium Agreement,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2011,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
3D Research,,2092-6731,2010,1,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/2092-6731/,Springer Link,administrative,
The AAPS Journal,,1550-7416,1999,1,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/1550-7416,Springer Link,administrative,
AAPS PharmSciTech,,1530-9932,2000,1,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/1530-9932,Springer Link,administrative,
Abdominal Imaging,0942-8925,1432-0509,1997,22,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0942-8925,Springer Link,administrative,
Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg,0025-5858,1865-8784,1997,67,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0025-5858,Springer Link,administrative,
Academic Questions,0895-4852,1936-4709,1997,11,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0895-4852,Springer Link,administrative,
"Accreditation and Quality Assurance: Journal for Quality, Comparability and Reliability in Chemical Measurement",0949-1775,1432-0517,1997,2,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0949-1775,Springer Link,administrative,
Acoustical Physics,1063-7710,1562-6865,2000,46,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/1063-7710,Springer Link,administrative,
Acta Analytica,0353-5150,1874-6349,2002,17,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0353-5150,Springer Link,administrative,
Acta Applicandae Mathematicae: An International Survey Journal on Applying Mathematics and Mathematical Applications,0167-8019,1572-9036,1997,46,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0167-8019,Springer Link,administrative,
Acta Biotheoretica,0001-5342,1572-8358,1997,45,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0001-5342,Springer Link,administrative,
Acta Diabetologica,0940-5429,1432-5233,1997,34,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0940-5429,Springer Link,administrative,
Acta Endoscopica,0240-642X,1765-3134,1997,27,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0240-642X,Springer Link,administrative,
Acta ethologica,0873-9749,1437-9546,1999,2,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0873-9749,Springer Link,administrative,
Acta Geophysica,1895-6572,1895-7455,2006,54,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/1895-6572,Springer Link,administrative,
Acta Geotechnica,1861-1125,1861-1133,2006,1,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/1861-1125,Springer Link,administrative,
Acta Informatica,0001-5903,1432-0525,1997,34,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0001-5903,Springer Link,administrative,
Acta Mathematica,0001-5962,1871-2509,1997,178,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0001-5962,Springer Link,administrative,
Acta Mathematica Hungarica,0236-5294,1588-2632,1997,74,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0236-5294,Springer Link,administrative,
Acta Mathematica Sinica,1439-8516,1439-7617,1997,13,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/1439-8516,Springer Link,administrative,
Acta Mathematicae Applicatae Sinica (English Series),0168-9673,1618-3932,1997,13,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0168-9673,Springer Link,administrative,
Acta Mechanica,0001-5970,1619-6937,1997,120,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0001-5970,Springer Link,administrative,
Acta Mechanica Sinica,0567-7718,1614-3116,1997,13,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0567-7718,Springer Link,administrative,
Acta Meteorologica Sinica,0894-0525,,2011,25,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0894-0525/,Springer Link,administrative,
Acta Neurochirurgica,0001-6268,0942-0940,1997,139,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0001-6268,Springer Link,administrative,
Acta Neurologica Belgica,,,,,,,,,,,,,,,Springer Link,host,,Springer Link,administrative,
Acta Neuropathologica,0001-6322,1432-0533,1997,93,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0001-6322,Springer Link,administrative,
Acta Oceanologica Sinica,0253-505X,1869-1099 ,2010,29,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0253-505X,Springer Link,administrative,
Acta Parasitologica,1230-2821,1896-1851,2006,51,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/1230-2821,Springer Link,administrative,
Acta Physiologiae Plantarum,0137-5881,1861-1664,1997,19,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0137-5881,Springer Link,administrative,
Acta Theriologica,0001-7051,2190-3743,2001,46,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0001-7051/,Springer Link,administrative,
ADHD Attention Deficit and Hyperactivity Disorders,1866-6116,1866-6647,2009,1,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/1866-6116,Springer Link,administrative,
Administration and Policy in Mental Health and Mental Health Services Research,0894-587X,1573-3289,1997,25,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0894-587X,Springer Link,administrative,
Adsorption,0929-5607,1572-8757,1997,3,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0929-5607,Springer Link,administrative,
Advances in Applied Clifford Algebras,0188-7009,1661-4909,1997,7,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0188-7009,Springer Link,administrative,
Advances in Atmospheric Sciences,0256-1530,1861-9533,1997,14,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0256-1530,Springer Link,administrative,
Advances in Computational Mathematics,1019-7168,1572-9044,1997,7,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/1019-7168,Springer Link,administrative,
Advances in Data Analysis and Classification,1862-5347,1862-5355,2007,1,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/1862-5347,Springer Link,administrative,
Advances in Gerontology,2079-0570,2079-0589,2011,1,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/2079-0570/,Springer Link,administrative,
Advances in Health Sciences Education,1382-4996,1573-1677,1997,2,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/1382-4996,Springer Link,administrative,
Advances in Therapy,0741-238X,1865-8652,2000,17,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0741-238X,Springer Link,administrative,
Aegean Review of the Law of the Sea and Maritime Law,1864-9610,1864-9629,2010,1,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/1864-9610,Springer Link,administrative,
Aequationes Mathematicae,0001-9054,1420-8903,1997,53,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0001-9054,Springer Link,administrative,
Aerobiologia,0393-5965,1573-3025,1997,13,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0393-5965,Springer Link,administrative,
Aesthetic Plastic Surgery,0364-216X,1432-5241,1997,21,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0364-216X,Springer Link,administrative,
African Archaeological Review,0263-0338,1572-9842,1997,14,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0263-0338,Springer Link,administrative,
African Journal of Urology,1110-5704,1961-9987,2008,1,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/1110-5704,Springer Link,administrative,
Afrika Matematica,1012-9405,2190-7668,2011,22,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/1012-9405/,Springer Link,administrative,
AGE,0161-9152,1574-4647,1997,20,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0161-9152,Springer Link,administrative,
Ageing International,0163-5158,1936-606X,1997,24,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0163-5158,Springer Link,administrative,
Agriculture and Human Values,0889-048X,1572-8366,1997,14,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0889-048X,Springer Link,administrative,
Agroforestry Systems,0167-4366,1572-9680,1997,37,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0167-4366,Springer Link,administrative,
Agronomy for Sustainable Development,1774-0746,1773-0155,2007,27,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/1774-0746/,Springer Link,administrative,
AI & Society,0951-5666,1435-5655,1997,11,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0951-5666,Springer Link,administrative,
AIDS and Behavior,1090-7165,1573-3254,1997,1,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/1090-7165,Springer Link,administrative,
"Air Quality, Atmosphere & Health",1873-9318,1873-9326,2008,1,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/1873-9318,Springer Link,administrative,
Algebra and Logic,0002-5232,1573-8302,1997,36,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0002-5232,Springer Link,administrative,
Algebra Universalis,0002-5240,1420-8911,1997,37,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0002-5240,Springer Link,administrative,
Algebras and Representation Theory,1386-923X,1572-9079,1998,1,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/1386-923X,Springer Link,administrative,
Algorithmica,0178-4617,1432-0541,1997,17,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0178-4617,Springer Link,administrative,
Alpine Botany,1664-2201,1664-221X,2011,121,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/1664-2201/,Springer Link,administrative,
AMBIO,0044-7447,1654-7209,2010,39,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0044-7447,Springer Link,administrative,
American Journal of Community Psychology,0091-0562,1573-2770,1997,25,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0091-0562,Springer Link,administrative,
