SO Name,NESLI2 Springer Option 2 Institutional Licenses 2011_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,springer_option2 Institutional Licenses_2011_2012_nesli2,,,,,,,,,,,,,,,,,,,
Provider,Springer,,,,,,,,,,,,,,,,,,,
Package Identifier,Option 2 Institutional Licenses,,,,,,,,,,,,,,,,,,,
Package Name,Option 2 Institutional Licenses,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2011,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Environmental Science and Pollution Research,0944-1344,1614-7499,1997,,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0944-1344/,Springer Link,administrative,
Abdominal Imaging,0942-8925,1432-0509,1997,22,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0942-8925,Springer Link,administrative,
"Accreditation and Quality Assurance: Journal for Quality, Comparability and Reliability in Chemical Measurement",0949-1775,1432-0517,1997,2,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0949-1775,Springer Link,administrative,
Acta Applicandae Mathematicae: An International Survey Journal on Applying Mathematics and Mathematical Applications,0167-8019,1572-9036,1997,46,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0167-8019,Springer Link,administrative,
Acta Biotheoretica,0001-5342,1572-8358,1997,45,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0001-5342,Springer Link,administrative,
Acta Diabetologica,0940-5429,1432-5233,1997,34,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0940-5429,Springer Link,administrative,
Acta Endoscopica,0240-642X,1765-3134,1997,27,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0240-642X,Springer Link,administrative,
Acta Informatica,0001-5903,1432-0525,1997,34,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0001-5903,Springer Link,administrative,
Acta Mathematica Hungarica,0236-5294,1588-2632,1997,74,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0236-5294,Springer Link,administrative,
Acta Mechanica,0001-5970,1619-6937,1997,120,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0001-5970,Springer Link,administrative,
Acta Neurochirurgica,0001-6268,0942-0940,1997,139,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0001-6268,Springer Link,administrative,
Acta Neuropathologica,0001-6322,1432-0533,1997,93,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0001-6322,Springer Link,administrative,
Administration and Policy in Mental Health and Mental Health Services Research,0894-587X,1573-3289,1997,25,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0894-587X,Springer Link,administrative,
Adsorption,0929-5607,1572-8757,1997,3,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0929-5607,Springer Link,administrative,
Advances in Computational Mathematics,1019-7168,1572-9044,1997,7,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/1019-7168,Springer Link,administrative,
Advances in Health Sciences Education,1382-4996,1573-1677,1997,2,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/1382-4996,Springer Link,administrative,
Aequationes Mathematicae,0001-9054,1420-8903,1997,53,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0001-9054,Springer Link,administrative,
Aerobiologia,0393-5965,1573-3025,1997,13,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0393-5965,Springer Link,administrative,
Aesthetic Plastic Surgery,0364-216X,1432-5241,1997,21,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0364-216X,Springer Link,administrative,
African Archaeological Review,0263-0338,1572-9842,1997,14,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0263-0338,Springer Link,administrative,
AGE,0161-9152,1574-4647,1997,20,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0161-9152,Springer Link,administrative,
Agriculture and Human Values,0889-048X,1572-8366,1997,14,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0889-048X,Springer Link,administrative,
Agroforestry Systems,0167-4366,1572-9680,1997,37,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0167-4366,Springer Link,administrative,
AI & Society,0951-5666,1435-5655,1997,11,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0951-5666,Springer Link,administrative,
AIDS and Behavior,1090-7165,1573-3254,1997,1,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/1090-7165,Springer Link,administrative,
Algebra and Logic,0002-5232,1573-8302,1997,36,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0002-5232,Springer Link,administrative,
Algebra Universalis,0002-5240,1420-8911,1997,37,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0002-5240,Springer Link,administrative,
Algorithmica,0178-4617,1432-0541,1997,17,,,,,,,,,,,Springer Link,host,http://www.springerlink.com/content/0178-4617,Springer Link,administrative,
