SO Name,NESLI2 Springer Open Access 2011_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,springer_openaccess_2011_2012_nesli2,,,,,,,,,,,,,,,,,,,
Provider,Springer,,,,,,,,,,,,,,,,,,,
Package Identifier,Open Access Hybrid,,,,,,,,,,,,,,,,,,,
Package Name,Open Access Hybrid,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2011,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,NESLI2,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
3 Biotech,,2190-5738,2011,1,,,,,,,,,Springer Berlin Heidelberg,,Springer Link,host,http://www.springerlink.com/content/2190-5738/,Springer Link,administrative,
Advances in Difference Equations,,1687-1847,2011,2011,,,,,,,,,"Springer International Publishing, CH",,Springer Link,host,http://www.springerlink.com/content/1687-1847/,Springer Link,administrative,
AMB Express,,2191-0855,2011,1,,,,,,,,,Springer Berlin Heidelberg,,Springer Link,host,http://www.springerlink.com/content/2191-0855/,Springer Link,administrative,
Annals of Intensive Care,,2110-5820,2011,1,,,,,,,,,Springer Paris,,Springer Link,host,http://www.springerlink.com/content/2110-5820/,Springer Link,administrative,
Applied Nanoscience,,2190-5517,2011,1,,,,,,,,,Springer Berlin Heidelberg,,Springer Link,host,http://www.springerlink.com/content/2190-5517/,Springer Link,administrative,
Applied Petrochemical Research,,2190-5525,2011,1,,,,,,,,,Springer Berlin Heidelberg,,Springer Link,host,http://www.springerlink.com/content/2190-5525/,Springer Link,administrative,
Applied Water Science,,2190-5495,2011,1,,,,,,,,,Springer Berlin Heidelberg,,Springer Link,host,http://www.springerlink.com/content/2190-5495/,Springer Link,administrative,
Biointerphases,,1559-4106,2006,1,,,,,,,,,Springer Berlin Heidelberg,,Springer Link,host,http://www.springerlink.com/content/1559-4106/,Springer Link,administrative,
Biologics in Therapy,,2190-9164,2011,1,,,,,,,,,Springer Healthcare,,Springer Link,host,http://www.springerlink.com/content/2190-9164/,Springer Link,administrative,
Boundary Value Problems,,1687-2770,2011,2011,,,,,,,,,"Springer International Publishing, CH",,Springer Link,host,http://www.springerlink.com/content/1687-2770/,Springer Link,administrative,
Bulletin of Mathematical Sciences,,1664-3615,2011,1,,,,,,,,,Springer Basel,,Springer Link,host,http://www.springerlink.com/content/1664-3615/,Springer Link,administrative,
Chemistry Central Journal,,1752-153X,2007,1,,,,,,,,,Chemistry Central,,Springer Link,host,http://www.springerlink.com/content/1752-153X/,Springer Link,administrative,
Combination Products in Therapy,,2190-9180,2011,1,,,,,,,,,Springer Healthcare,,Springer Link,host,http://www.springerlink.com/content/2190-9180/,Springer Link,administrative,
Communications in Mobile Computing,,2192-1121,2012,1,,,,,,,,start year not confirmed,Springer Berlin Heidelberg,,Springer Link,host,http://www.springerlink.com/content/2192-1121/,Springer Link,administrative,
Dermatology and Therapy,,2190-9172,2011,1,,,,,,,,,Springer Healthcare,,Springer Link,host,http://www.springerlink.com/content/2190-9172/,Springer Link,administrative,
Ecological Processes,,2192-1709,2012,1,,,,,,,,only 4 articles available - start date expected is Dec 2012,Springer Berlin Heidelberg,,Springer Link,host,http://www.springerlink.com/content/2192-1709/,Springer Link,administrative,
EJNMMI Research,,2191-219X,2011,1,,,,,,,,,Springer Berlin Heidelberg,,Springer Link,host,http://www.springerlink.com/content/2191-219X/,Springer Link,administrative,
"Energy, Sustainability and Society",,2192-0567,2011,1,,,,,,,,,Springer Berlin Heidelberg,,Springer Link,host,http://www.springerlink.com/content/2192-0567/,Springer Link,administrative,
EURASIP Journal on Advances in Signal Processing,,1687-6180,2011,2011,,,,,,,,,"Springer International Publishing, CH",,Springer Link,host,http://www.springerlink.com/content/1687-6180/,Springer Link,administrative,
"EURASIP Journal on Audio, Speech, and Music Processing",,1687-4722,2011,2011,,,,,,,,,"Springer International Publishing, CH",,Springer Link,host,http://www.springerlink.com/content/1687-4722/,Springer Link,administrative,
EURASIP Journal on Bioinformatics and Systems Biology,,1687-4153,2011,2011,,,,,,,,,"Springer International Publishing, CH",,Springer Link,host,http://www.springerlink.com/content/1687-4153/,Springer Link,administrative,
EURASIP Journal on Embedded Systems,,1687-3963,2011,2011,,,,,,,,,"Springer International Publishing, CH",,Springer Link,host,http://www.springerlink.com/content/1687-3963/,Springer Link,administrative,
EURASIP Journal on Image and Video Processing,,1687-5281,2011,2011,,,,,,,,,"Springer International Publishing, CH",,Springer Link,host,http://www.springerlink.com/content/1687-5281/,Springer Link,administrative,
EURASIP Journal on Information Security,,1687-417X,2011,2011,,,,,,,,,"Springer International Publishing, CH",,Springer Link,host,http://www.springerlink.com/content/1687-417X/,Springer Link,administrative,
EURASIP Journal on Wireless Communications and Networking,,1687-1499,2011,2011,,,,,,,,,"Springer International Publishing, CH",,Springer Link,host,http://www.springerlink.com/content/1687-1499/,Springer Link,administrative,
EUROPEAN Transport Research Review,,1866-8887,2009,1,,,,,,,,,Springer Berlin Heidelberg,,Springer Link,host,http://www.springerlink.com/content/1866-8887/,Springer Link,administrative,
Fixed Point Theory and Applications,,1687-1812,2011,2011,,,,,,,,,"Springer International Publishing, CH",,Springer Link,host,http://www.springerlink.com/content/1687-1812/,Springer Link,administrative,
Geochemical Transactions,,1467-4866,2000,1,,,,,,,,,Chemistry Central,,Springer Link,host,http://www.springerlink.com/content/1467-4866/,Springer Link,administrative,
Gold Bulletin,,0017-1557,1997,30,,,,,,,,archival pre 1997 issues not OA,Springer Berlin Heidelberg,,Springer Link,host,http://www.springerlink.com/content/0017-1557/,Springer Link,administrative,
Health Economics Review,,2191-1991,2011,1,,,,,,,,,Springer Berlin Heidelberg,,Springer Link,host,http://www.springerlink.com/content/2191-1991/,Springer Link,administrative,
Human-Centric Computing and Information Sciences,,2192-1962,2011,1,,,,,,,,,Springer Berlin Heidelberg,,Springer Link,host,http://www.springerlink.com/content/2192-1962/,Springer Link,administrative,
International Aquatic Research,,2008-6970,2012,,,,,,,,,no content yet available online,Springer Berlin Heidelberg,,Springer Link,host,http://www.springerlink.com/content/2008-6970/,Springer Link,administrative,
International Journal of Advanced Structural Engineering,,2008-6695,2012,,,,,,,,,no content yet available online,Springer Berlin Heidelberg,,Springer Link,host,http://www.springerlink.com/content/2008-6695/,Springer Link,administrative,
International Journal of Disaster Risk Science,2095-0055,2192-6395,2010,1,,,,,,,,,"Beijing Normal University Press, co-published with Springer",,Springer Link,host,http://www.springerlink.com/content/2192-6395/,Springer Link,administrative,
International Journal of Emergency Medicine,,1865-1380,2008,1,,,,,,,,,Springer London,,Springer Link,host,http://www.springerlink.com/content/1865-1380/,Springer Link,administrative,
International Journal of Energy and Environmental Engineering,,,,,,,,,,,,no content yet available online,Springer Berlin Heidelberg,,Springer Link,host,http://www.springerlink.com/content/0000-0000/,Springer Link,administrative,
International Journal of Industrial Chemistry,,2228-5547,2012,,,,,,,,,no content yet available online,Springer Berlin Heidelberg,,Springer Link,host,http://www.springerlink.com/content/2228-5547/,Springer Link,administrative,
International Journal of Recycling of Organic Waste in Agriculture,,,,,,,,,,,,,Springer Berlin Heidelberg,,Springer Link,host,,Springer Link,administrative,
International Nano Letters,,2228-5326,2012,,,,,,,,,no content yet available online,Springer Berlin Heidelberg,,Springer Link,host,http://www.springerlink.com/content/2228-5326/,Springer Link,administrative,
Journal of Applied Volcanology,,2191-5040,2011,1,,,,,,,,,Springer Berlin Heidelberg,,Springer Link,host,http://www.springerlink.com/content/2191-5040/,Springer Link,administrative,
Journal of Cheminformatics,,1758-2946,2009,1,,,,,,,,,Chemistry Central,,Springer Link,host,http://www.springerlink.com/content/1758-2946/,Springer Link,administrative,
Journal of Cloud Computing,,2192-113X,2011,1,,,,,,,,,Springer Berlin Heidelberg,,Springer Link,host,http://www.springerlink.com/content/2192-113X/,Springer Link,administrative,
Journal of Economic Structures,,2193-2409,2012,,,,,,,,,no content yet available online,Springer Berlin Heidelberg,,Springer Link,host,http://www.springerlink.com/content/2193-2409/,Springer Link,administrative,
Journal of Industrial Engineering International,,2228-5547,2012,,,,,,,,,no content yet available online,Springer Berlin Heidelberg,,Springer Link,host,http://www.springerlink.com/content/2228-5547/,Springer Link,administrative,
Journal of Innovation and Entrepreneurship,,2192-5372,2012,,,,,,,,,no content yet available online,Springer Berlin Heidelberg,,Springer Link,host,http://www.springerlink.com/content/2192-5372/,Springer Link,administrative,
Journal of Mathematics in Industry,,2190-5983,2011,1,,,,,,,,,Springer Berlin Heidelberg,,Springer Link,host,http://www.springerlink.com/content/2190-5983/,Springer Link,administrative,
Journal of Nanostructure in Chemistry,,,,,,,,,,,,,Springer Berlin Heidelberg,,Springer Link,host,,Springer Link,administrative,
Journal of Ophthalmic Inflammation and Infection,,1869-5760,2011,1,,,,,,,,,Springer Berlin Heidelberg,,Springer Link,host,http://www.springerlink.com/content/1869-5760/,Springer Link,administrative,
