SO Name,SHEDL Springer Open Access Hybrid 2011_2012,,,,,,,,,,,,,,,,,,,
SO Identifier,springer_openaccesshybrid_2011_2012_shedl,,,,,,,,,,,,,,,,,,,
Provider,Springer,,,,,,,,,,,,,,,,,,,
Package Identifier,Open Access Hybrid,,,,,,,,,,,,,,,,,,,
Package Name,Open Access Hybrid,,,,,,,,,,,,,,,,,,,
Agreement Term Start Year,2011,,,,,,,,,,,,,,,,,,,
Agreement Term End Year,2012,,,,,,,,,,,,,,,,,,,
Consortium,SHEDL,,,,,,,,,,,,,,,,,,,
Number of Proprietary_ID columns,0,,,,,,,,,,,,,,,,,,,
Number of Platforms listed,2,,,,,,,,,,,,,,,,,,,
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,DOI,platform_name,platform_role,platform_title_url,platform_name,platform_role,platform_title_url
Australasian Plant Disease Notes,,1833-928X,2006,1,,,,,,,,"this is not OA. However, content is freely available on SL due to agreement with the owner",Springer Netherlands,,Springer Link,host,http://www.springerlink.com/content/1833-928X/,Springer Link,administrative,
Environmental Sciences Europe,,2190-4715,2011,23,,,,,,,,pre 2011 is only selected articles OA,Springer Berlin Heidelberg,,Springer Link,host,http://www.springerlink.com/content/2190-4715/,Springer Link,administrative,
Poiesis & Praxis,,1615-6617,2011,8,,,,,,,,pre 2011 not marked as OA,Springer Berlin Heidelberg,,Springer Link,host,http://www.springerlink.com/content/1615-6617/,Springer Link,administrative,
Rice,,1939-8433,2012,5,,,,,,,,pre 2012 is only selected articles OA,Springer New York,,Springer Link,host,http://www.springerlink.com/content/1939-8433/,Springer Link,administrative,
The EPMA Journal,,1878-5085,2012,3,,,,,,,,pre 2012 is only selected articles OA,Springer Netherlands,,Springer Link,host,http://www.springerlink.com/content/1878-5085/,Springer Link,administrative,
The HUGO Journal,,1877-6566,2012,6,,,,,,,,pre 2012 is only selected articles OA,Springer Netherlands,,Springer Link,host,http://www.springerlink.com/content/1877-6566/,Springer Link,administrative,
The Journal of Headache and Pain,,1129-2377,2011,12,,,,,,,,pre 2011 is not marked OA,Springer Milan,,Springer Link,host,http://www.springerlink.com/content/1129-2377/,Springer Link,administrative,
Chinese Science Bulletin,1001-6538,1861-9541,2011,56,,,,,,,,pre 2011 only selected articles OA,"Science China Press, co-published with Springer",,Springer Link,host,http://www.springerlink.com/content/1861-9541/,Springer Link,administrative,
SCIENCE CHINA Life Sciences,1674-7305,1869-1889,2011,54,,,,,,,,pre 2011 only selected articles OA,"Science China Press, co-published with Springer",,Springer Link,host,http://www.springerlink.com/content/1869-1889/,Springer Link,administrative,
Critical Ultrasound Journal,,2036-7902,2009,1,,,,,,,,pre 2012 is only selected articles OA,Springer Milan,,Springer Link,host,http://www.springerlink.com/content/2036-7902/,Springer Link,administrative,
