consortia_id,member_jc_id,link_type
NESLi2,1,consortium
NESLi2,464,consortium
NESLi2,2,consortium
NESLi2,3,consortium
NESLi2,5,consortium
NESLi2,6,consortium
NESLi2,465,consortium
NESLi2,8,consortium
NESLi2,9,consortium
NESLi2,33,consortium
NESLi2,34,consortium
NESLi2,35,consortium
NESLi2,467,consortium
NESLi2,36,consortium
NESLi2,37,consortium
NESLi2,38,consortium
NESLi2,468,consortium
NESLi2,39,consortium
NESLi2,40,consortium
NESLi2,41,consortium
NESLi2,42,consortium
NESLi2,43,consortium
NESLi2,46,consortium
NESLi2,47,consortium
NESLi2,469,consortium
NESLi2,656,consortium
NESLi2,48,consortium
NESLi2,49,consortium
NESLi2,50,consortium
NESLi2,51,consortium
NESLi2,52,consortium
NESLi2,53,consortium
NESLi2,54,consortium
NESLi2,470,consortium
NESLi2,55,consortium
NESLi2,471,consortium
NESLi2,410,consortium
NESLi2,56,consortium
NESLi2,57,consortium
NESLi2,472,consortium
NESLi2,58,consortium
NESLi2,59,consortium
NESLi2,60,consortium
NESLi2,61,consortium
NESLi2,62,consortium
NESLi2,63,consortium
NESLi2,64,consortium
NESLi2,65,consortium
NESLi2,473,consortium
NESLi2,66,consortium
NESLi2,67,consortium
NESLi2,68,consortium
NESLi2,70,consortium
NESLi2,71,consortium
NESLi2,72,consortium
NESLi2,73,consortium
NESLi2,74,consortium
NESLi2,75,consortium
NESLi2,76,consortium
NESLi2,77,consortium
NESLi2,474,consortium
NESLi2,475,consortium
NESLi2,78,consortium
NESLi2,79,consortium
NESLi2,80,consortium
NESLi2,81,consortium
NESLi2,82,consortium
NESLi2,83,consortium
NESLi2,476,consortium
NESLi2,85,consortium
NESLi2,86,consortium
NESLi2,906,consortium
NESLi2,644,consortium
NESLi2,477,consortium
NESLi2,87,consortium
NESLi2,88,consortium
NESLi2,89,consortium
NESLi2,90,consortium
NESLi2,91,consortium
NESLi2,92,consortium
NESLi2,93,consortium
NESLi2,832,consortium
NESLi2,478,consortium
NESLi2,95,consortium
NESLi2,96,consortium
NESLi2,97,consortium
NESLi2,98,consortium
NESLi2,99,consortium
NESLi2,833,consortium
NESLi2,101,consortium
NESLi2,102,consortium
NESLi2,103,consortium
NESLi2,104,consortium
NESLi2,105,consortium
NESLi2,106,consortium
NESLi2,107,consortium
NESLi2,108,consortium
NESLi2,109,consortium
NESLi2,110,consortium
NESLi2,898,consortium
NESLi2,111,consortium
NESLi2,112,consortium
NESLi2,113,consortium
NESLi2,114,consortium
NESLi2,479,consortium
NESLi2,115,consortium
NESLi2,116,consortium
NESLi2,117,consortium
NESLi2,118,consortium
NESLi2,119,consortium
NESLi2,120,consortium
NESLi2,122,consortium
NESLi2,123,consortium
NESLi2,124,consortium
NESLi2,127,consortium
NESLi2,128,consortium
NESLi2,129,consortium
NESLi2,130,consortium
NESLi2,131,consortium
NESLi2,836,consortium
NESLi2,133,consortium
NESLi2,134,consortium
NESLi2,135,consortium
NESLi2,480,consortium
NESLi2,137,consortium
NESLi2,138,consortium
NESLi2,481,consortium
NESLi2,482,consortium
NESLi2,483,consortium
NESLi2,139,consortium
NESLi2,140,consortium
NESLi2,141,consortium
NESLi2,142,consortium
NESLi2,484,consortium
NESLi2,143,consortium
NESLi2,144,consortium
NESLi2,145,consortium
NESLi2,146,consortium
NESLi2,147,consortium
NESLi2,148,consortium
NESLi2,843,consortium
NESLi2,150,consortium
NESLi2,595,consortium
NESLi2,844,consortium
NESLi2,153,consortium
NESLi2,154,consortium
NESLi2,155,consortium
NESLi2,156,consortium
NESLi2,157,consortium
NESLi2,158,consortium
NESLi2,159,consortium
NESLi2,485,consortium
NESLi2,486,consortium
NESLi2,488,consortium
NESLi2,160,consortium
NESLi2,161,consortium
NESLi2,163,consortium
NESLi2,164,consortium
NESLi2,166,consortium
NESLi2,167,consortium
NESLi2,168,consortium
NESLi2,169,consortium
NESLi2,171,consortium
NESLi2,174,consortium
NESLi2,175,consortium
NESLi2,176,consortium
NESLi2,177,consortium
NESLi2,899,consortium
NESLi2,490,consortium
NESLi2,492,consortium
NESLi2,903,consortium
NESLi2,863,consortium
NESLi2,182,consortium
NESLi2,495,consortium
NESLi2,891,consortium
NESLi2,184,consortium
NESLi2,185,consortium
NESLi2,186,consortium
NESLi2,187,consortium
NESLi2,188,consortium
NESLi2,189,consortium
NESLi2,496,consortium
NESLi2,497,consortium
NESLi2,190,consortium
NESLi2,191,consortium
NESLi2,192,consortium
NESLi2,193,consortium
NESLi2,498,consortium
NESLi2,194,consortium
NESLi2,195,consortium
NESLi2,196,consortium
NESLi2,197,consortium
NESLi2,199,consortium
NESLi2,200,consortium
NESLi2,201,consortium
NESLi2,202,consortium
NESLi2,203,consortium
NESLi2,205,consortium
NESLi2,204,consortium
NESLi2,206,consortium
NESLi2,207,consortium
NESLi2,499,consortium
NESLi2,208,consortium
NESLi2,501,consortium
NESLi2,209,consortium
NESLi2,211,consortium
NESLi2,212,consortium
NESLi2,213,consortium
NESLi2,681,consortium
NESLi2,214,consortium
NESLi2,215,consortium
NESLi2,216,consortium
NESLi2,217,consortium
NESLi2,218,consortium
NESLi2,502,consortium
NESLi2,503,consortium
NESLi2,504,consortium
NESLi2,220,consortium
NESLi2,221,consortium
NESLi2,222,consortium
NESLi2,845,consortium
NESLi2,224,consortium
NESLi2,225,consortium
NESLi2,226,consortium
NESLi2,227,consortium
NESLi2,228,consortium
NESLi2,889,consortium
NESLi2,505,consortium
NESLi2,229,consortium
NESLi2,230,consortium
NESLi2,231,consortium
NESLi2,232,consortium
NESLi2,233,consortium
NESLi2,234,consortium
NESLi2,235,consortium
NESLi2,506,consortium
NESLi2,236,consortium
NESLi2,237,consortium
NESLi2,507,consortium
NESLi2,238,consortium
NESLi2,239,consortium
NESLi2,240,consortium
NESLi2,241,consortium
NESLi2,242,consortium
NESLi2,508,consortium
NESLi2,243,consortium
NESLi2,246,consortium
NESLi2,244,consortium
NESLi2,245,consortium
NESLi2,509,consortium
NESLi2,510,consortium
NESLi2,511,consortium
NESLi2,247,consortium
NESLi2,248,consortium
NESLi2,249,consortium
NESLi2,250,consortium
NESLi2,251,consortium
NESLi2,252,consortium
NESLi2,253,consortium
NESLi2,512,consortium
NESLi2,513,consortium
NESLi2,514,consortium
NESLi2,515,consortium
NESLi2,516,consortium
NESLi2,864,consortium
NESLi2,865,consortium
NESLi2,519,consortium
NESLi2,254,consortium
NESLi2,255,consortium
NESLi2,846,consortium
NESLi2,257,consortium
NESLi2,520,consortium
NESLi2,258,consortium
NESLi2,259,consortium
NESLi2,260,consortium
NESLi2,261,consortium
NESLi2,521,consortium
NESLi2,264,consortium
NESLi2,658,consortium
NESLi2,265,consortium
NESLi2,266,consortium
NESLi2,267,consortium
NESLi2,522,consortium
NESLi2,268,consortium
NESLi2,269,consortium
NESLi2,270,consortium
NESLi2,271,consortium
NESLi2,272,consortium
NESLi2,273,consortium
NESLi2,274,consortium
NESLi2,659,consortium
NESLi2,275,consortium
NESLi2,276,consortium
NESLi2,281,consortium
NESLi2,282,consortium
NESLi2,283,consortium
NESLi2,284,consortium
NESLi2,285,consortium
NESLi2,286,consortium
NESLi2,277,consortium
NESLi2,278,consortium
NESLi2,279,consortium
NESLi2,617,consortium
NESLi2,280,consortium
NESLi2,287,consortium
NESLi2,288,consortium
NESLi2,523,consortium
NESLi2,292,consortium
NESLi2,293,consortium
NESLi2,296,consortium
NESLi2,297,consortium
NESLi2,299,consortium
NESLi2,300,consortium
NESLi2,302,consortium
NESLi2,303,consortium
NESLi2,304,consortium
NESLi2,289,consortium
NESLi2,290,consortium
