JD ID for subcribing institution,506,,,,,,,,,,
SO Identifier,cup_full package_2010_2012_nesli2,,,,,,,,,,
Subscription Term Start Year,2010,,,,,,,,,,
Subscription Term End Year,2012,,,,,,,,,,
included_st, publication_title,print_identifier,online_identifier,date_first_issue_subscribed,num_first_vol_subscribed,num_first_issue_subscribed,date_last_issue_subscribed,num_last_vol_subscribed,num_last_issue_subscribed,embargo_info,core_title
,Acta Numerica,0962-4929,1474-0508,01/01/2000,9,,,,,,
,Africa,0001-9720,1750-0184,01/02/2000,70,1,,,,,
,Africa Bibliography,0266-6731,1757-1642,01/03/2007,2005,,,,,,
,Ageing & Society,0144-686X,1469-1779,01/01/1997,17,1,,,,,Y
,AI EDAM,0890-0604,1469-1760,01/01/1998,12,1,,,,,
,AJS Review,0364-0094,1475-4541,01/04/2002,26,1,,,,,
,American Political Science Review,0003-0554,1537-5943,01/03/2001,95,1,,,,,
,Ancient Mesoamerica,0956-5361,1469-1787,01/01/1999,10,1,,,,,
,Anglo-Saxon England,0263-6751,1474-0532,01/12/2001,30,,,,,,Y
,animal,1751-7311,1751-732X,01/02/2007,1,1,,,,,
,Animal Genetic Resources / Resources g??n??tiques animales / Recursos gen??ticos animales,1014-2339,2076-4022,01/04/2006,38,,,,,,
,Animal Genetic Resources Information,1014-2339,2076-4022,01/04/1983,1,,01/10/2009,45,,,
,Animal Health Research Reviews,1466-2523,1475-2654,01/06/2000,1,1,,,,,
,Annales de Limnologie - International Journal of Limnology,0003-4088,2100-000X,01/03/2002,38,1,,,,,
,Annals of Actuarial Science,1748-4995,1748-5002,01/03/2006,1,1,,,,,
,Annual of the British School at Athens,0068-2454,2045-2403,01/11/2008,103,,,,,,
,Annual Review of Applied Linguistics,0267-1905,1471-6356,01/01/1999,19,,,,,,Y
,Antarctic Science,0954-1020,1365-2079,01/03/1991,3,1,,,,,
,Applied Psycholinguistics,0142-7164,1469-1817,01/03/1999,20,1,,,,,Y
,Aquatic Living Resources,0990-7440,1765-2952,01/03/2002,15,1,,,,,
,Arabic Sciences and Philosophy,0957-4239,1474-0524,01/03/2000,10,1,,,,,
,Archaeological Dialogues,1380-2038,1478-2294,01/10/2003,10,1,,,,,
,Archaeological Reports,0570-6084,2041-4102,01/11/1955,1,,,,,,Y
,arq: Architectural Research Quarterly,1359-1355,1474-0516,01/03/2001,5,1,,,,,
,Asian Journal of International Law,2044-2513,2044-2521,25/01/2011,1,1,,,,,
,Austrian History Yearbook,0067-2378,1558-5255,01/01/2005,36,,,,,,Y
,Behavioral and Brain Sciences,0140-525X,1469-1825,01/03/1997,20,1,,,,,Y
,Behavioural and Cognitive Psychotherapy,1352-4658,1469-1833,01/01/1998,26,1,,,,,
,Bilingualism: Language and Cognition,1366-7289,1469-1841,01/04/1998,1,1,,,,,
,Bird Conservation International,0959-2709,1474-0001,01/03/2000,10,1,,,,,
,Britannia,0068-113X,1753-5352,01/11/2005,36,,,,,,
,British Actuarial Journal,1357-3217,2044-0456,01/04/1996,2,1,,,,,
,British Journal of Anaesthetic and Recovery Nursing,1742-6456,1744-2192,01/03/2005,6,1,,,,,
,British Journal of Music Education,0265-0517,1469-2104,01/03/1999,16,1,,,,,
,British Journal of Nutrition,0007-1145,1475-2662,01/01/2007,97,1,,,,,Y
,British Journal of Political Science,0007-1234,1469-2112,01/01/1997,27,1,,,,,Y
,Browning Institute Studies,0092-4725,,01/01/1973,1,,01/01/1990,18,,,
,Bulletin of Entomological Research,0007-4853,1475-2670,01/01/1999,89,1,,,,,
,Bulletin of the Australian Mathematical Society,0004-9727,1755-1633,01/02/2007,75,1,,,,,
,Bulletin of the School of Oriental and African Studies,0041-977X,1474-0699,01/02/2001,64,1,,,,,
,Business History Review,0007-6805,2044-768X,01/03/2009,83,1,,,,,
,Cambridge Archaeological Journal,0959-7743,1474-0540,01/04/2000,10,1,,,,,
,Cambridge Opera Journal,0954-5867,1474-0621,01/03/2000,12,1,,,,,Y
,Cambridge Quarterly of Healthcare Ethics,0963-1801,1469-2147,01/01/1998,7,1,,,,,Y
,Camden Fifth Series,0960-1163,1478-5110,01/12/2003,22,,,,,,Y
,Canadian Journal of Political Science/Revue canadienne de science politique,0008-4239,1744-9324,01/03/2000,33,1,,,,,
,Canadian Journal on Aging/Revue canadienne du vieillissement,0714-9808,1710-1107,01/01/2005,24,1,,,,,
,Cardiology in the Young,1047-9511,1467-1107,01/01/2001,11,1,,,,,Y
,Central European History,0008-9389,1569-1616,01/03/2000,33,1,,,,,
,Church History: Studies in Christianity and Culture,0009-6407,1755-2613,01/03/1932,1,1,,,,,Y
,"Combinatorics, Probability and Computing",0963-5483,1469-2163,01/03/1997,6,1,,,,,
,Comparative Exercise Physiology,1755-2540,1755-2559,01/02/2008,5,1,,,,,
,Comparative Studies in Society and History,0010-4175,1475-2999,01/01/1997,39,1,,,,,
,Compositio Mathematica,0010-437X,1570-5846,01/01/2006,142,1,,,,,Y
,Contemporary European History,0960-7773,1469-2171,01/03/1999,8,1,,,,,Y
,Continuity and Change,0268-4160,1469-218X,01/05/1997,12,1,,,,,Y
,Development and Psychopathology,0954-5794,1469-2198,01/03/1997,9,1,,,,,
,Dialogue: Canadian Philosophical Review/Revue canadienne de philosophie,0012-2173,1759-0949,01/03/2005,44,1,,,,,
,Du Bois Review: Social Science Research on Race,1742-058X,1742-0598,01/03/2004,1,1,,,,,
,Early Music History,0261-1279,1474-0559,01/09/2001,20,,,,,,Y
,Earth and Environmental Science Transactions of the Royal Society of Edinburgh,1755-6910,1755-6929,01/03/2001,92,1,,,,,
,Ecclesiastical Law Journal,0956-618X,1751-8539,01/01/2007,9,1,,,,,
,Econometric Theory,0266-4666,1469-4360,01/02/1998,14,1,,,,,
,Economics and Philosophy,0266-2671,1474-0028,01/04/2000,16,1,,,,,
,Edinburgh Journal of Botany,0960-4286,1474-0036,01/03/2000,57,1,,,,,
,Eighteenth-Century Music,1478-5706,1478-5714,01/03/2004,1,1,,,,,
,English Language and Linguistics,1360-6743,1469-4379,01/05/1999,3,1,,,,,
,English Today,0266-0784,1474-0567,01/01/2001,17,1,,,,,Y
,Environment and Development Economics,1355-770X,1469-4395,01/02/1997,2,1,,,,,
,Environmental Biosafety Research,1635-7922,1635-7930,01/10/2002,1,1,,,,,
,Environmental Conservation,0376-8929,1469-4387,01/03/1997,24,1,,,,,
,Environmental Practice,1466-0466,1466-0474,01/03/2002,4,1,,,,,
,Epidemiologia e Psichiatria Sociale,1121-189X,,01/04/1992,1,1,01/12/2010,19,4,,
,Epidemiology & Infection,0950-2688,1469-4409,01/02/1997,118,1,,,,,Y
,Epidemiology and Psychiatric Sciences,2045-7960,2045-7979,01/03/2006,15,1,,,,,
,Ergodic Theory and Dynamical Systems,0143-3857,1469-4417,01/02/1997,17,1,,,,,
,"ESAIM: Control, Optimisation and Calculus of Variations",1292-8119,1262-3377,01/01/2002,7,,,,,,
,ESAIM: Mathematical Modelling and Numerical Analysis,0764-583X,1290-3841,01/01/2002,36,1,,,,,
,ESAIM: Probability and Statistics,1292-8100,1262-3318,01/01/2002,6,,,,,,
,Ethics & International Affairs,0892-6794,1747-7093,01/03/2006,20,1,,,,,Y
,European Business Organization Law Review (EBOR),1566-7529,1741-6205,01/07/2003,4,1,,,,,
,European Constitutional Law Review (EuConst),1574-0196,1744-5515,01/01/2005,1,1,,,,,
,European Journal of Applied Mathematics,0956-7925,1469-4425,01/02/1997,8,1,,,,,
,European Journal of Sociology / Archives Europ??ennes de Sociologie,0003-9756,1474-0583,01/05/2001,42,1,,,,,
,European Political Science Review,1755-7739,1755-7747,01/03/2009,1,1,,,,,
,European Review,1062-7987,1474-0575,01/02/2001,9,1,,,,,
,European Review of Economic History,1361-4916,1474-0044,01/04/1997,1,1,,,,,
,Experimental Agriculture,0014-4797,1469-4441,01/01/1997,33,1,,,,,
,Expert Reviews in Molecular Medicine,,1462-3994,05/11/1997,1,1,,,,,
,Fetal and Maternal Medicine Review,0965-5395,1469-5065,01/02/1996,8,1,,,,,
,Financial History Review,0968-5650,1474-0052,01/04/2000,7,1,,,,,
,Foreign Policy Bulletin,1052-7036,1745-1302,01/02/2005,15,1,,,,,
,Fruits,0248-1294,1625-967X,01/01/2002,57,1,,,,,
,Genetical Research,0016-6723,0435-2823,01/02/1960,1,1,01/02/2007,89,05-Jun,,
,Genetics Research,0016-6723,1469-5073,01/02/1997,69,1,,,,,
,Geological Magazine,0016-7568,1469-5081,01/01/1997,134,1,,,,,
,Glasgow Mathematical Journal,0017-0895,1469-509X,01/03/1999,41,1,,,,,
,Greece & Rome,0017-3835,1477-4550,01/04/2001,48,1,,,,,Y
,Hague Journal on the Rule of Law,1876-4045,1876-4053,01/03/2009,1,1,,,,,
,Harvard Theological Review,0017-8160,1475-4517,01/01/2002,95,1,,,,,Y
,"Health Economics, Policy and Law",1744-1331,1744-134X,01/01/2006,1,1,,,,,
,International & Comparative Law Quarterly,0020-5893,1471-6895,01/01/1996,45,1,,,,,Y
,International Journal of Astrobiology,1473-5504,1475-3006,01/01/2002,1,1,,,,,
,International Journal of Cultural Property,0940-7391,1465-7317,01/01/1992,1,1,,,,,
,International Journal of Law in Context,1744-5523,1744-5531,01/03/2005,1,1,,,,,
,International Journal of Microwave and Wireless Technologies,1759-0787,1759-0795,01/02/2009,1,1,,,,,
,International Journal of Middle East Studies,0020-7438,1471-6380,01/02/2000,32,1,,,,,Y
,International Journal of Technology Assessment in Health Care,0266-4623,1471-6348,01/01/1999,15,1,,,,,
,International Journal of Tropical Insect Science,1742-7584,1742-7592,01/03/2004,24,1,,,,,
,International Labor and Working-Class History,0147-5479,1471-6445,01/04/1999,55,,,,,,
,International Organization,0020-8183,1531-5088,01/02/1947,1,1,,,,,Y
,International Psychogeriatrics,1041-6102,1741-203X,01/03/1989,1,1,,,,,
,International Review of Social History,0020-8590,1469-512X,01/04/1998,43,1,,,,,
,International Review of the Red Cross,1816-3831,1607-5889,01/03/2006,88,861,,,,,
,International Theory,1752-9719,1752-9727,01/03/2009,1,1,,,,,
,Itinerario,0165-1153,2041-2827,01/03/2007,31,1,,,,,
,Japanese Journal of Political Science,1468-1099,1474-0060,01/05/2000,1,1,,,,,
,Journal of African Law,0021-8553,1464-3731,01/04/2001,45,1,,,,,
,Journal of American Studies,0021-8758,1469-5154,01/04/1997,31,1,,,,,
,Journal of Anglican Studies,1740-3553,1745-5278,01/06/2008,6,1,,,,,
,Journal of Biosocial Science,0021-9320,1469-7599,01/01/1997,29,1,,,,,
,Journal of Child Language,0305-0009,1469-7602,01/02/1997,24,1,,,,,
,Journal of Dairy Research,0022-0299,1469-7629,01/02/1997,64,1,,,,,
,Journal of Developmental Origins of Health and Disease,2040-1744,2040-1752,01/11/2009,1,1,,,,,
,Journal of Financial and Quantitative Analysis,0022-1090,1756-6916,01/03/2004,39,1,,,,,Y
,Journal of Fluid Mechanics,0022-1120,1469-7645,10/01/1997,330,,,,,,
,Journal of French Language Studies,0959-2695,1474-0079,01/03/2000,10,1,,,,,
,Journal of Functional Programming,0956-7968,1469-7653,01/01/1997,7,1,,,,,
,Journal of Germanic Linguistics,1470-5427,1475-3014,01/01/1989,1,1,,,,,
,Journal of Global History,1740-0228,1740-0236,01/03/2006,1,1,,,,,
,Journal of Helminthology,0022-149X,1475-2697,01/03/1999,73,1,,,,,
,Journal of Hygiene,0022-1724,,01/01/1901,1,1,01/08/1986,97,3,,
,Journal of Institutional Economics,1744-1374,1744-1382,01/06/2005,1,1,,,,,
,Journal of Latin American Studies,0022-216X,1469-767X,01/02/1997,29,1,,,,,
