JD ID for subcribing institution,508,,,,,,,,,,
SO Identifier,IOP_option 1_2011_2012_Nesli2,,,,,,,,,,
Subscription Term Start Year,2011,,,,,,,,,,
Subscription Term End Year,2012,,,,,,,,,,
included_st, publication_title,print_identifier,online_identifier,date_first_issue_subscribed,num_first_vol_subscribed,num_first_issue_subscribed,date_last_issue_subscribed,num_last_vol_subscribed,num_last_issue_subscribed,embargo_info,core_title
,Bioinspiration & Biomimetics,1748-3182,1748-3190,01/03/2006,,,,,,,
,Biomedical Materials,1748-6041,1748-605X,01/03/2006,,,,,,,
,Chinese Physics,1009-1963,1741-4199,01/01/2001,31/12/2007,,,,,,
,Chinese Physics B,1674-1056,,01/01/2008,,,,,,,
,Chinese Physics Letters,0256-307X,1741-3540,01/01/2001,,,,,,,
,Classical and Quantum Gravity,0264-9381,1361-6382,01/01/2001,,,,,,,
,Environmental Research Letters,,1748-9326,01/10/2006,,,,,,,
,EPL (Europhysics Letters),0295-5075,1286-4854,01/01/2001,,,,,,,Y
,European Journal of Physics,0143-0807,1361-6404,01/01/2001,,,,,,,
,Inverse Problems,0266-5611,1361-6420,01/01/2001,,,,,,,
,Journal of Cosmology and Astroparticle Physics,,1475-7516,01/02/2003,,,,,,,Y
,Journal of Geophysics and Engineering,1742-2132,1742-2140,01/03/2004,,,,,,,
,Journal of Instrumentation,,1748-0221,01/04/2006,,,,,,,Y
,Journal of Micromechanics and Microengineering,0960-1317,1361-6439,01/01/2001,,,,,,,Y
,Journal of Neural Engineering,1741-2560,1741-2552,01/03/2004,,,,,,,
,Journal of Optics,2040-8978,2040-8986,01/01/2001,,,,,,,
,Journal of Optics A: Pure and Applied Optics,1464-4258,1741-3567,01/01/2001,31/12/2009,,,,,,
,Journal of Optics B: Quantum and Semiclassical Optics,1464-4266,1741-3575,01/02/2001,31/12/2005,,,,,,Y
,Journal of Physics A: Mathematical and General,0305-4470,1361-6447,01/01/2001,31/12/2006,,,,,,Y
,Journal of Physics A: Mathematical and Theoretical,1751-8113,1751-8121,05/01/2007,,,,,,,Y
,"Journal of Physics B: Atomic, Molecular and Optical Physics",0953-4075,1361-6455,01/01/2001,,,,,,,Y
,Journal of Physics D: Applied Physics,0022-3727,1361-6463,01/01/2001,,,,,,,Y
,Journal of Physics G: Nuclear and Particle Physics,0954-3899,1361-6471,01/01/2001,,,,,,,Y
,Journal of Physics: Condensed Matter,0953-8984,1361-648X,01/01/2001,,,,,,,Y
,Journal of Physics: Conference Series,1742-6588,1742-6596,01/01/2004,,,,,,,
,Journal of Radiological Protection,0952-4746,1361-6498,01/03/1988,,,,,,,
,Journal of Statistical Mechanics: Theory and Experiment,,1742-5468,01/03/2004,,,,,,,Y
,Measurement Science and Technology,0957-0233,1361-6501,01/01/2001,,,,,,,Y
,Metrologia,0026-1394,1681-7575,01/01/2001,,,,,,,
,Modelling and Simulation in Materials Science and Engineering,0965-0393,1361-651X,01/01/2001,,,,,,,Y
,Nanotechnology,0957-4484,1361-6528,01/01/2001,,,,,,,Y
,Nonlinearity,0951-7715,1361-6544,01/01/2001,,,,,,,Y
,Nuclear Fusion,0029-5515,1741-4326,01/01/2001,,,,,,,
,Physica Scripta,0031-8949,1402-4896,01/01/2001,,,,,,,
,Physical Biology,,1478-3975,01/03/2004,,,,,,,
,Physics Education,0031-9120,1361-6552,01/01/2001,,,,,,,
,Physics in Medicine and Biology,0031-9155,1361-6560,01/01/2001,,,,,,,
,Physiological Measurement,0967-3334,1361-6579,01/01/2001,,,,,,,
,Plasma Physics and Controlled Fusion,0741-3335,1361-6587,01/01/2001,,,,,,,
,Plasma Science and Technology,1009-0630,,01/01/2001,,,,,,,
,Plasma Sources Science and Technology,0963-0252,1361-6595,01/01/2001,,,,,,,Y
,Reports on Progress in Physics,0034-4885,1361-6633,01/01/2001,,,,,,,Y
,Semiconductor Science and Technology,0268-1242,1361-6641,01/01/2001,,,,,,,Y
,Smart Materials and Structures,0964-1726,1361-665X,01/01/2001,,,,,,,Y
,Superconductor Science and Technology,0953-2048,1361-6668,01/01/2001,,,,,,,Y
