JD ID for Subcribing Institution,608,,,,,,,,,,
SO Identifier,bmj_collection_2011-2012_nesli2,,,,,,,,,,
Subscription Term Start Year,2011,,,,,,,,,,
Subscription Term End Year,2012,,,,,,,,,,
included_st, publication_title,print_identifier,online_identifier,date_first_issue_subscribed,num_first_vol_subscribed,num_first_issue_subscribed,date_last_issue_subscribed,num_last_vol_subscribed,num_last_issue_subscribed,embargo_info,core_title
,ADC Education & Practice edition,1743-0585,1743-0593,01/06/2004,89,1,,,,,Y
,ADC Fetal & Neonatal edition,1359-2998,1468-2052, 01/01/1994,70,1,,,,,Y
,Annals of the Rheumatic Diseases,0003-4967,1468-2060,01/01/1939,1,1,,,,,Y
,Archives of Disease in Childhood,0003-9888,1468-2044,01/01/1926,1,1,,,,,Y
,British Journal of Ophthalmology,0007-1161,1468-2079,01/01/1917,1,1,,,,,Y
,British Journal of Sports Medicine,0306-3674,1473-0480,01/01/1964,1,1,,,,,Y
,Emergency Medicine Journal ,1472-0205,1472-0213,01/03/1984,1,1,,,,,Y
,Evidence-Based Medicine,1356-5524,1473-6810,01/01/2000,5,1,,,,,Y
,Evidence-Based Mental Health,1362-0347,148-960X,01/02/1998,1,1,,,,,Y
,Evidence-Based Nursing ,1367-6539,1468-9618,01/01/1998,1,1,,,,,Y
,Frontline Gastroenterology,2041-4137,2041-4145,01/04/2010,1,1,,,,,
,Gut,0017-5749,1468-3288,01/03/1960,1,1,,,,,Y
,Heart,1355-6037,1468-201X,01/01/1939,1,1,,,,,Y
,Injury Prevention,1353-8047,1475-5785,01/03/1995,1,1,,,,,Y
,Journal of Clinical Pathology,0021-9746,1472-4146,01/11/1947,1,1,,,,,Y
,Journal of Epidemiology and Community Health,0143-005X,1470-2738,01/01/1947,1,1,,,,,Y
,Journal of Medical Ethics,0306-6800,1473-4257,01/04/1975,1,1,,,,,Y
,Journal of Medical Genetics,0022-2593,1468-6244,01/09/1964,1,1,,,,,Y
,Journal of Medical Humanities,1468-215X,1473-4265,01/06/2000,26,1,,,,,
,Journal of NeuroInterventional Surgery,1759-8478,1759-8486,01/07/2009,1,1,,,,,Y
,"Journal of Neurology, Neurosurgery and Psychiatry",0022-3050,1468-330X,01/05/1920,s1,1,,,,,Y
,Occupational and Environmental Medicine,1351-0711,1470-7926,01/01/1944,1,1,,,,,Y
,Postgraduate Medical Journal,0032-5473,1469-0756,01/10/1925,1,1,,,,,Y
,Practical Neurology,1474-7758,1474-7766,01/10/2001,1,1,,,,,
,Quality and Safety in Health Care,2044-5415,2044-5423,01/03/1992,1,1,,,,,Y
,Sexually Transmitted Infections,1368 4973,1472-3263,01/01/1925,1,1,,,,,Y
,Thorax,0040 6376,1468-3296,01/03/1946,21,1,,,,,Y
,Tobacco Control,0964 4563,1468-3318,01/03/1992,1,1,,,,,Y
