JD ID for Subcribing Institution,608,,,,,,,,,,
SO Identifier,nature_collection_2012_2012_Nesli2,,,,,,,,,,
Subscription Term Start Year,2012,,,,,,,,,,
Subscription Term End Year,2012,,,,,,,,,,
included_st, publication_title,print_identifier,online_identifier,date_first_issue_subscribed,num_first_vol_subscribed,num_first_issue_subscribed,date_last_issue_subscribed,num_last_vol_subscribed,num_last_issue_subscribed,embargo_info,core_title
,Nature,,1476-4687,2008,,,,,,,Y
,Nature Biotechnology,,1546-1696,2008,,,,,,,
,Nature Cell Biology,,1476-4679,2008,,,,,,,
,Nature Chemical Biology,,1548-7105,2008,,,,,,,
,Nature Chemistry,,1755-4349,2008,,,,,,,
,Nature Climate Change,,1758-678X,2008,,,,,,,
,Nature Communications,,2041-1733,2008,,,,,,,
,Nature Genetics,,1546-1718,2008,,,,,,,
,Nature Geosciences,,1752-0908,2008,,,,,,,
,Nature Immunology,,1529-2916,2008,,,,,,,
,Nature Materials,,1476-4660 ,2008,,,,,,,
,Nature Medicine,,1546-170X,2008,,,,,,,
,Nature Methods,,1548-7105,2008,,,,,,,
,Nature Nanotechnology,,1748-3395,2008,,,,,,,
,Nature Neuroscience,,1546-1726,2008,,,,,,,
,Nature Photonics,,1749-4893,2008,,,,,,,
,Nature Physics,,1745-2481,2008,,,,,,,
,Nature Protocols,,1750-2799,2008,,,,,,,
,Nature Structural and Molecular Biology,,1545-9985,2008,,,,,,,
,Nature Reviews Cancer,,1474-1768,2008,,,,,,,
,Nature Reviews Cardiology,,1759-5010,2008,,,,,,,
,Nature Reviews Clinical Oncology,,1759-4782,2008,,,,,,,
,Nature Reviews Drug Discovery,,1474-1784,2008,,,,,,,
,Nature Reviews Endocrinology,,1759-5037,2008,,,,,,,
,Nature Reviews Gastroenterology and Hepatology,,1759-5053,2008,,,,,,,
,Nature Reviews Genetics,,1471-0064,2008,,,,,,,
,Nature Reviews Immunology,,1474-1741,2008,,,,,,,
,Nature Reviews Microbiology,,1740-1534,2008,,,,,,,
,Nature Reviews Molecular Cell Biology,,1471-0080,2008,,,,,,,
,Nature Reviews Nephrology,,1759-507X,2008,,,,,,,
,Nature Reviews Neurology,,1759-4766,2008,,,,,,,
,Nature Reviews Neuroscience,,1471-0048,2008,,,,,,,
,Nature Reviews Rheumatology,,1759-4804,2008,,,,,,,
,Nature Reviews Urology,,1759-4820,2008,,,,,,,
,SciBX: Scientce-Business Exchange,,1945-3477 ,2008,,,,,,,
,Scientific American,,0036-8733 ,2008,,,,,,,
,Acta Pharmacologica Sinica ,,1745-7254,2008,,,,,,,
,American Journal of Gastroenterology,,1572-0241,2008,,,,,,,
,American Journal of Hypertension,,1941-7225,2008,,,,,,,
,Asian Journal of Andrology,,1745-7262,2008,,,,,,,
,IBMS BoneKEy ,,,2008,,,,,,,
,British Dental Journal,,1476-5373,2008,,,,,,,
,British Journal of Cancer,,1532-1827,2008,,,,,,,
,Bone Marrow Transplantation,,1476-5365,2008,,,,,,,
,Cancer Gene Therapy,,1476-5500,2008,,,,,,,
,Cell Death and Differentiation,,1476-5403,2008,,,,,,,
,Cell Death and Disease,,2041-4889 ,2008,,,,,,,
,Cell Research,,1748-7838,2008,,,,,,,
,Cellular and Molecular Immunology,,2042-0226,2008,,,,,,,
,Clinical Pharmacology & Therapeutics,,1532-6535,2008,,,,,,,
,Evidence-Based Dentistry,,1476-5446,2008,,,,,,,
,EMBO Journal,,1460-2075,2008,,,,,,,
,EMBO Reports,,1469-3178,2008,,,,,,,
,European Journal of Clinical Nutrition,,1476-5640,2008,,,,,,,
,European Journal of Human Genetics,,1476-5438,2008,,,,,,,
,Eye,,1476-5454,2008,,,,,,,
,Gene Therapy,,1476-5462,2008,,,,,,,
,Genes and Immunity,,1476-5470,2008,,,,,,,
,Genetics in Medicine,,1530-0366,2008,,,,,,,
,Heredity,,1365-2540,2008,,,,,,,
,Hypertension Research,,1348-4214,2008,,,,,,,
,Immunology & Cell Biology,,1440-1711,2008,,,,,,,
,International Journal of Impotence Research,,1476-5489,2008,,,,,,,
,International Journal of Obesity,,1476-5497,2008,,,,,,,
,The ISME Journal,,1751-7370,2008,,,,,,,
,The Journal of Antibiotics,,1881-1469,2008,,,,,,,
,Journal of cerebral Blood Flow and Metabolism,,1559-7016,2008,,,,,,,
,Journal of Exposure Science and Environmental Epidemiology,,1559-064X,2008,,,,,,,
,Journal of Human Genetics,,1435-232X,2008,,,,,,,
,Journal of Human Hypertension,,1476-5527,2008,,,,,,,
,The Journal of Investigative Dermatology,,1523-1747,2008,,,,,,,
,Journal of Perinatology,,1476-5543,2008,,,,,,,
,Kidney International,,1523-1755,2008,,,,,,,
,Lab Animal,,1548-4475 ,2008,,,,,,,
,Laboratory Investigation,,1530-0307,2008,,,,,,,
,Leukemia,,1476-5551,2008,,,,,,,
,Modern Pathology,,1530-0285,2008,,,,,,,
,Molecular Psychiatry,,1476-5578,2008,,,,,,,
,Molecular Therapy,,1744-4292,2008,,,,,,,
,Mucosal Immunology,,1525-0004,2008,,,,,,,
,Neuropsychopharmacology,,1935-3456,2008,,,,,,,
,Nutrition and Diabetes,,2044-4052,2008,,,,,,,
,Obesity,,1470-634X,2008,,,,,,,
,Oncogene,,1930-739X,2008,,,,,,,
,Pediatric Research,,1530-0447,2008,,,,,,,
,The Pharmacogenomics Journal,,1476-5594,2008,,,,,,,
,Polymer Journal,,1349-0540,2008,,,,,,,
,Prostate Cancer,,1476-5608,2008,,,,,,,
,Spinal Cord,,1476-5624,2008,,,,,,,
,Vital,,1471-7511,2008,,,,,,,
