JD ID for Subcribing Institution,625,,,,,,,,,,
SO Identifier,wiley_full collection_2012-2014_nesli2,,,,,,,,,,
Subscription Term Start Year,2012,,,,,,,,,,
Subscription Term End Year,2014,,,,,,,,,,
included_st, publication_title,print_identifier,online_identifier,date_first_issue_subscribed,num_first_vol_subscribed,num_first_issue_subscribed,date_last_issue_subscribed,num_last_vol_subscribed,num_last_issue_subscribed,embargo_info,core_title
,ABACUS,0001-3072,1467-6281,1997,33,,,,,,Y
,ABOUT CAMPUS,1086-4822,1536-0687,1997,1,,,,,,
,ACADEMIC EMERGENCY MEDICINE,1069-6563,1553-2712,1997,2,,,,,,
,ACCOUNTING & FINANCE,0810-5391,1467-629X,1997,37,,,,,,
,ACCOUNTING PERSPECTIVES,1911-382X,1911-3838,2010,9,,,,,,
,ACTA ANAESTHESIOLOGICA SCANDINAVICA,0001-5172,1399-6576,1997,41,,,,,,
,ACTA ARCHAEOLOGICA,0065-101X,1600-0390,2000,71,,,,,,
,ACTA CRYSTALLOGRAPHICA SECTION A,0108-7673,1600-5724,1997,53,,,,,,
,ACTA CRYSTALLOGRAPHICA SECTION B,0108-7681,1600-5740,1997,53,,,,,,
,ACTA CRYSTALLOGRAPHICA SECTION C,0108-2701,1600-5759,1997,53,,,,,,
,ACTA CRYSTALLOGRAPHICA SECTION D,0907-4449,1399-0047,1997,53,,,,,,
,ACTA CRYSTALLOGRAPHICA SECTION E (ELECTRONIC),-,1600-5368,2001,57,,,,,,
,ACTA CRYSTALLOGRAPHICA SECTION F (ELECTRONIC),-,1744-3091,2005,61,,,,,,
,ACTA GEOLOGICA SINICA (ENGLISH EDITION),1000-9515,1755-6724,1997,10,,,,,,
,ACTA NEUROLOGICA SCANDINAVICA,0001-6314,1600-0404,1997,95,,,,,,
,ACTA NEUROPSYCHIATRICA (ELECTRONIC),0924-2708,1601-5215,2002,14,,,,,,
,ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,0001-6349,1600-0412,1997,76,,,,,,
,ACTA OPHTHALMOLOGICA,1755-375X,1755-3768,1997,75,,,,,,
,ACTA PAEDIATRICA,0803-5253,1651-2227,1997,86,,,,,,
,ACTA PHYSIOLOGICA,1748-1708,1748-1716,1997,159,,,,,,Y
,ACTA PSYCHIATRICA SCANDINAVICA,0001-690X,1600-0447,1997,95,,,,,,
,ACTA ZOOLOGICA,0001-7272,1463-6395,1997,78,,,,,,
,ADDICTION,0965-2140,1360-0443,1997,92,,,,,,Y
,ADDICTION BIOLOGY,1355-6215,1369-1600,1997,2,,,,,,
,ADULTSPAN JOURNAL,1524-6817,2161-0029,,,,,,,,
,ADVANCED FUNCTIONAL MATERIALS,1616-301X,1616-3028,1997,7,,,,,,
,ADVANCED MATERIALS,0935-9648,1521-4095,1998,10,,,,,,
,ADVANCES IN POLYMER TECHNOLOGY,0730-6679,1098-2329,1997,,,,,,,
,"AFRICA RESEARCH BULLETIN: ECONOMIC, FINANCIAL AND TECHNICAL SERIES",0001-9852,1467-6346,1997,34,,,,,,
,"AFRICA RESEARCH BULLETIN: POLITICAL, SOCIAL AND CULTURAL SERIES",0001-9844,1467-825X,1997,34,,,,,,
,AFRICAN DEVELOPMENT REVIEW,1017-6772,1467-8268,1997,9,,,,,,
,AFRICAN JOURNAL OF ECOLOGY,0141-6707,1365-2028,1997,35,,,,,,
,AGGRESSIVE BEHAVIOR,0096-140X,1098-2337,1997,,,,,,,
,AGING CELL,1474-9718,1474-9726,2002,1,,,,,,
,AGRIBUSINESS : AN INTERNATIONAL JOURNAL,0742-4477,1520-6297,1997,,,,,,,
,AGRICULTURAL AND FOREST ENTOMOLOGY,1461-9555,1461-9563,1999,1,,,,,,
,AGRICULTURAL ECONOMICS,0169-5150,1574-0862,2000,22,,,,,,
,AICHE JOURNAL,0001-1541,1547-5905,1998,44,,,,,,
,ALCOHOLISM,0145-6008,1530-0277,1997,21,,,,,,
,ALCOHOLISM AND DRUG ABUSE WEEKLY,1042-1394,1556-7591,2005,17,,,,,,
,ALIMENTARY PHARMACOLOGY & THERAPEUTICS,0269-2813,1365-2036,1997,11,,,,,,
,ALLERGY,0105-4538,1398-9995,1997,52,,,,,,
,ALTERNATIVES TO THE HIGH COST OF LITIGATION,1549-4373,1549-4381,1997,,,,,,,
,AMERICAN ANTHROPOLOGIST,0002-7294,1548-1433,1997,99,,,,,,
,AMERICAN BUSINESS LAW JOURNAL,0002-7766,1744-1714,1997,34,,,,,,
,AMERICAN ETHNOLOGIST,0094-0496,1548-1425,1997,24,,,,,,
,AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY,0002-9246,1536-7150,1997,56,,,,,,
,AMERICAN JOURNAL OF HEMATOLOGY,0361-8609,1096-8652,1997,,,,,,,
,AMERICAN JOURNAL OF HUMAN BIOLOGY,1042-0533,1520-6300,1997,,,,,,,
,AMERICAN JOURNAL OF INDUSTRIAL MEDICINE,0271-3586,1097-0274,1997,,,,,,,
,AMERICAN JOURNAL OF MEDICAL GENETICS,1552-4868,1552-4833,1997,,,,,,,
,AMERICAN JOURNAL OF ORTHOPSYCHIATRY,0002-9432,1939-0025,1997,67,,,,,,
,AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,0002-9483,1096-8644,1997,,,,,,,
,AMERICAN JOURNAL OF POLITICAL SCIENCE,0092-5853,1540-5907,2003,47,,,,,,
,AMERICAN JOURNAL OF PRIMATOLOGY,0275-2565,1098-2345,1997,,,,,,,
,AMERICAN JOURNAL OF REPRODUCTIVE IMMUNOLOGY,1046-7408,1600-0897,2000,43,,,,,,
,AMERICAN JOURNAL OF TRANSPLANTATION,1600-6135,1600-6143,2001,1,,,,,,
,ANAESTHESIA,0003-2409,1365-2044,1997,52,,,,,,
,ANALYSES OF SOCIAL ISSUES & PUBLIC POLICY,1529-7489,1530-2415,2001,1,,,,,,
,ANALYTIC PHILOSOPHY,2153-9596,2153-960X,1997,38,,,,,,
,"ANATOMIA, HISTOLOGIA, EMBRYOLOGIA",0340-2096,1439-0264,1997,26,,,,,,
,ANDROLOGIA (ELECTRONIC),0303-4569,1439-0272,1997,29,,,,,,
,ANGEWANDTE CHEMIE,0044-8249,1521-3757,1998,110,,,,,,
,ANGEWANDTE CHEMIE INTERNATIONAL EDITION,1433-7851,1521-3773,1998,37,,,,,,Y
,ANIMAL CONSERVATION,1367-9430,1469-1795,1998,1,,,,,,
,ANIMAL GENETICS,0268-9146,1365-2052,1997,28,,,,,,
,ANIMAL SCIENCE JOURNAL,1344-3941,1740-0929,2002,73,,,,,,
,ANNALEN DER PHYSIK,0003-3804,1521-3889,1998,7,,,,,,
,ANNALS OF ANTHROPOLOGICAL PRACTICE,2153-957X,2153-9588,1997,17,,,,,,
,ANNALS OF APPLIED BIOLOGY,0003-4746,1744-7348,1997,130,,,,,,
,ANNALS OF HUMAN GENETICS,0003-4800,1469-1809,1997,61,,,,,,
,ANNALS OF NEUROLOGY,0364-5134,1531-8249,1999,45,,,,,,
,ANNALS OF NONINVASIVE ELECTROCARDIOLOGY,1082-720X,1542-474X,1997,2,,,,,,
,ANNALS OF PUBLIC AND COOPERATIVE ECONOMICS,1370-4788,1467-8292,1997,68,,,,,,
,ANNALS OF THE NEW YORK ACADEMY OF SCIENCES,0077-8923,1749-6632,1997,807,,,,,,
,ANNUAL BULLETIN OF HISTORICAL LITERATURE,0066-3832,1467-8314,1997,81,,,,,,
,ANNUAL REVIEW OF INFORMATION SCIENCE & TECHNOLOGY (ELECTRONIC),-,1550-8382,2002,36,,,,,,
