JD ID for Subcribing Institution,636,,,,,,,,,,
SO Identifier,sage_collection_2012_2012_nesli2,,,,,,,,,,
Subscription Term Start Year,2012,,,,,,,,,,
Subscription Term End Year,2012,,,,,,,,,,
included_st, publication_title,print_identifier,online_identifier,date_first_issue_subscribed,num_first_vol_subscribed,num_first_issue_subscribed,date_last_issue_subscribed,num_last_vol_subscribed,num_last_issue_subscribed,embargo_info,core_title
,Accounting History,1032-3732,1749-3374,1999-05,4,1,,,,,
,Acta Sociologica,0001-6993,1502-3869,1999-01,42,1,,,,,
,Action Research,1476-7503,1741-2617,2003-07,1,1,,,,,
,Active Learning in Higher Education,1469-7874,1741-2625,2000-07,1,1,,,,,
,Adaptive Behavior,1059-7123,1741-2633,1999-01,7,1,,,,,Y
,Administration & Society,0095-3997,1552-3039,1999-01,30,6,,,,,
,Administrative Science Quarterly,0001-8392,,1999-03,44,1,,,,,
,Adult Education Quarterly,0741-7136,1552-3047,1999-12,49,2,,,,,
,Advances in Developing Human Resources,1523-4223,1552-3055,1999-02,1,1,,,,,
,Aesthetic Surgery Journal,1090-820X,1527-330X,1999-01,19,1,,,,,
,Affilia,0886-1099,1552-3020,1999-02,14,1,,,,,
,"Alternatives: Global, Local, Political",0304-3754,,2005-01,30,1,,,,,
,American Behavioral Scientist,0002-7642,1552-3381,1999-01,42,4,,,,,
,American Educational Research Journal ,0002-8312,1935-1011,1999-01,36,1,,,,,
,American Journal of Alzheimer's Disease & Other Dementias,1533-3175,1938-2731,1999-01,14,1,,,,,
,American Journal of Evaluation,1098-2140,1557-0878,1999-03,20,1,,,,,
,American Journal of Hospice and Palliative Medicine,1049-9091,1938-2715,1999-01,16,1,,,,,
,American Journal of Lifestyle Medicine,1559-8276,1559-8284,2007-01,1,1,,,,,
,American Journal of Medical Quality,1062-8606,1555-824X,1999-01,14,1,,,,,
,American Journal of Men's Health,1557-9883,1557-9891,2007-03,1,1,,,,,
,American Politics Research,1532-673X,1552-3373,1999-01,27,1,,,,,
,American Sociological Review,0003-1224,1939-8271,2004-02,69,1,,,,,
,Angiology,0003-3197,1940-1574,1999-01,50,1,,,,,
,Animation,1746-8477,1746-8485,2006-07,1,1,,,,,
,Anthropological Theory,1463-4996,1741-2641,2001-03,1,1,,,,,Y
,Applied Psychological Measurement,0146-6216,1552-3497,1999-03,23,1,,,,,
,Armed Forces & Society,0095-327X,1556-0848,1999-01,25,2,,,,,
,Arts and Humanities in Higher Education,1474-0222,1741-265X,2002-06,1,1,,,,,
,Asia Pacific Journal of Human Resources,1038-4111,1744-7941,1999-01,36,3,,,,,
,Asian Cardiovascular & Thoracic Annals  ,0218-4923,1816-5370,1999-03,7,1,,,,,
,Asian Journal of Management Cases,0972-8201,0973-0621,2004-01,1,1,,,,,
,Asia-Pacific Journal of Public Health,1010-5395,1941-2479,1999-01,11,1,,,,,
,Assessment,1073-1911,1552-3489,1999-03,6,1,,,,,
,Assessment for Effective Intervention,1534-5084,1938-7458,1999-01,25,1,,,,,
,Australian and New Zealand Journal of Criminology,0004-8658,1837-9273,1999-04,32,1,,,,,
,Australian Journal of Management,0312-8962,1327-2020,1999-06,24,1,,,,,
,Autism,1362-3613,1461-7005,1999-03,3,1,,,,,
,Behavior Modification,0145-4455,1552-4167,1999-01,23,1,,,,,
,Biblical Theology Bulletin,0146-1079,1945-7596,1999-02,29,1,,,,,
,Biological Research For Nursing,1099-8004,1552-4175,1999-07,1,1,,,,,
,Bioscope: South Asian Screen Studies,0974-9276,0976-352X,2010-01,1,1,,,,,
,BMS: Bulletin of Sociological Methodology/Bulletin de Méthodologie Sociologique,0759-1063,2070-2779,1999-01,61,1,,,,,
,Body & Society,1357-034X,1460-3632,1999-03,5,1,,,,,Y
,British Journal of Visual Impairment,0264-6196,1744-5809,1999-01,17,1,,,,,
,British Journalism Review,0956-4748,1741-2668,1999-01,10,1,,,,,
,Building Services Engineering Research and Technology,0143-6244,1477-0849,1999-01,20,1,,,,,
,"Bulletin of Science, Technology & Society",0270-4676,1552-4183,1999-02,19,1,,,,,
,Bulletin of the Atomic Scientists,0096-3402,0096-3402,1999-01,55,1,,,,,
,Business & Society,0007-6503,1552-4205,1999-03,38,1,,,,,
,Business Communication Quarterly,0021-9435,1552-4191,1999-01,62,1,,,,,
,Business Information Review,0266-3821,1741-6450,1999-03,16,1,,,,,
,Canadian Journal of School Psychology,0829-5735,,1999-06,14,2,,,,,
,Capital & Class,0309-8168,2041-0980,1999-01,23,1,,,,,
,Cardiac Cath Lab Director,2150-1335,2150-1343,2011-02,1,1,,,,,
,Career Development for Exceptional Individuals,0885-7288,1557-5047,1999-01,22,1,,,,,
,Cartilage,1947-6035,1947-6043,2010-01,1,1,,,,,
,Cephalalgia,0333-1024,1468-2982,1999-01,19,1,,,,,
,Child Language Teaching and Therapy,0265-6590,1477-0865,1999-02,15,1,,,,,
,Child Maltreatment,1077-5595,1552-6119,1999-02,4,1,,,,,
,Childhood,0907-5682,1461-7013,1999-02,6,1,,,,,
,China Information,0920-203X,1741-590X,1999-01,13,4,,,,,
,China Report ,0009-4455,0973-063X,1999-02,35,1,,,,,
,Chronic Illness,1742-3953,1745-9206,2005-03,1,1,,,,,
,Chronic Respiratory Disease,1479-9723,1479-9731,2004-01,1,1,,,,,
,Clin-Alert,0069-4770,1530-812X,2000-01,38,1,,,,,
,Clinical and Applied Thrombosis/Hemostasis,1076-0296,1938-2723,1999-01,5,1,,,,,
,Clinical Case Studies,1534-6501,1552-3802,2002-01,1,1,,,,,
